APT,PHASE,DATE,MVTS,ADD_TIME,AVG_ADD_TIME
SBSP,TXOT,2019-06-27,239,1158.11,4.8456485355648535
SBCF,TXOT,2019-06-27,148,569.09,3.8452027027027027
SBBR,TXOT,2019-06-27,159,404.26,2.5425157232704403
SBCT,TXOT,2019-06-27,84,449.17,5.347261904761905
SBGR,TXOT,2019-06-27,336,1625.72,4.838452380952381
SBPA,TXOT,2019-06-27,91,517.28,5.684395604395604
SBGL,TXOT,2019-06-27,103,486.72,4.7254368932038835
SBSV,TXOT,2019-06-27,59,204.99,3.474406779661017
SBKP,TXOT,2019-06-27,162,1098.74,6.782345679012345
SBRJ,TXOT,2019-06-28,130,629.61,4.843153846153847
SBGR,TXOT,2019-06-28,335,1439.84,4.298029850746269
SBCF,TXOT,2019-06-28,149,725.63,4.87
SBSP,TXOT,2019-06-28,252,1250.39,4.961865079365079
SBCT,TXOT,2019-06-28,83,554.3,6.678313253012048
SBGL,TXOT,2019-06-28,98,456.74,4.660612244897959
SBBR,TXOT,2019-06-28,168,646.11,3.8458928571428572
SBPA,TXOT,2019-06-28,88,361.96999999999997,4.1132954545454545
SBKP,TXOT,2019-06-28,165,991.38,6.008363636363637
SBSV,TXOT,2019-06-28,68,244.22,3.591470588235294
SBGR,TXOT,2019-06-29,333,1309.56,3.9326126126126124
SBSP,TXOT,2019-06-29,182,417.08,2.2916483516483517
SBBR,TXOT,2019-06-29,114,336.36,2.9505263157894737
SBRJ,TXOT,2019-06-29,85,354.25,4.16764705882353
SBGL,TXOT,2019-06-29,101,576.23,5.705247524752475
SBCT,TXOT,2019-06-29,63,213.45,3.388095238095238
SBCF,TXOT,2019-06-29,112,447.3,3.99375
SBPA,TXOT,2019-06-29,75,298,3.973333333333333
SBSV,TXOT,2019-06-29,59,186.43,3.1598305084745766
SBKP,TXOT,2019-06-29,132,766.39,5.805984848484848
SBSP,TXOT,2019-06-30,189,580.94,3.073756613756614
SBCF,TXOT,2019-06-30,129,542.25,4.203488372093023
SBKP,TXOT,2019-06-30,136,793.6,5.835294117647059
SBBR,TXOT,2019-06-30,111,303.72,2.7362162162162162
SBGR,TXOT,2019-06-30,299,1393.6,4.660869565217391
SBGL,TXOT,2019-06-30,86,320.82,3.7304651162790696
SBRJ,TXOT,2019-06-30,84,295.69,3.5201190476190476
SBSV,TXOT,2019-06-30,64,281.86,4.4040625
SBCT,TXOT,2019-06-30,69,210.09,3.044782608695652
SBPA,TXOT,2019-06-30,70,278.25,3.975
SBGR,TXOT,2019-07-01,367,1559.74,4.249972752043597
SBGL,TXOT,2019-07-01,106,520.17,4.907264150943396
SBCF,TXOT,2019-07-01,152,650.61,4.280328947368421
SBBR,TXOT,2019-07-01,173,499.35,2.8864161849710985
SBPA,TXOT,2019-07-01,94,391.53,4.165212765957446
SBSV,TXOT,2019-07-01,72,277.8,3.8583333333333334
SBSP,TXOT,2019-07-01,244,1098.52,4.502131147540983
SBRJ,TXOT,2019-07-01,120,509.27,4.243916666666666
SBCT,TXOT,2019-07-01,86,283,3.2906976744186047
SBKP,TXOT,2019-07-01,151,895.4,5.929801324503311
SBRJ,TXOT,2019-07-02,123,480.81,3.9090243902439026
SBSP,TXOT,2019-07-02,246,834.11,3.390691056910569
SBKP,TXOT,2019-07-02,160,930.97,5.8185625000000005
SBPA,TXOT,2019-07-02,94,684.01,7.276702127659575
SBCF,TXOT,2019-07-02,148,763.4,5.158108108108108
SBCT,TXOT,2019-07-02,87,301.12,3.4611494252873563
SBGL,TXOT,2019-07-02,113,477.49,4.225575221238938
SBBR,TXOT,2019-07-02,168,559.64,3.3311904761904763
SBSV,TXOT,2019-07-02,78,295.77,3.7919230769230765
SBGR,TXOT,2019-07-02,346,1732.31,5.006676300578034
SBPA,TXOT,2019-07-03,97,486.27,5.013092783505154
SBGR,TXOT,2019-07-03,367,1588.06,4.327138964577657
SBGL,TXOT,2019-07-03,119,631.84,5.309579831932774
SBBR,TXOT,2019-07-03,178,828.16,4.652584269662921
SBSP,TXOT,2019-07-03,246,2287.59,9.299146341463414
SBSV,TXOT,2019-07-03,79,369.08,4.671898734177215
SBRJ,TXOT,2019-07-03,122,389.37,3.1915573770491803
SBCT,TXOT,2019-07-03,81,347.51,4.290246913580247
SBCF,TXOT,2019-07-03,149,653.82,4.388053691275168
SBKP,TXOT,2019-07-03,161,1174.47,7.2948447204968945
SBRJ,TXOT,2019-07-04,121,483.65,3.9971074380165286
SBCT,TXOT,2019-07-04,85,374.29,4.403411764705883
SBBR,TXOT,2019-07-04,169,617.39,3.6531952662721894
SBGR,TXOT,2019-07-04,353,1706.71,4.834872521246459
SBCF,TXOT,2019-07-04,150,772.79,5.151933333333333
SBPA,TXOT,2019-07-04,97,527.78,5.441030927835051
SBSP,TXOT,2019-07-04,232,981.72,4.2315517241379315
SBGL,TXOT,2019-07-04,116,570.06,4.9143103448275856
SBSV,TXOT,2019-07-04,79,355.22,4.496455696202532
SBKP,TXOT,2019-07-04,151,1192.22,7.895496688741722
SBGR,TXOT,2019-07-05,383,1970.54,5.1450130548302875
SBRJ,TXOT,2019-07-05,123,540.79,4.3966666666666665
SBBR,TXOT,2019-07-05,179,683.05,3.815921787709497
SBCT,TXOT,2019-07-05,86,344.33,4.003837209302326
SBSP,TXOT,2019-07-05,242,1071.63,4.428223140495868
SBKP,TXOT,2019-07-05,167,1152.17,6.899221556886228
