DEP_CNTRY,IS_STUDY,DES_CNTRY,TFC_TYPE,DES_PRU,DEPS,REGION,YEAR
LU,FALSE,IT,regional,Eurocontrol,3306,EUR,2024
PL,FALSE,CH,regional,Eurocontrol,3287,EUR,2024
LU,FALSE,FR,regional,Eurocontrol,3283,EUR,2024
BG,FALSE,BG,regional,Eurocontrol,3281,EUR,2024
GB,TRUE,CY,regional,Eurocontrol,3280,EUR,2024
FR,TRUE,TN,international,Africa,3242,EUR,2024
SE,FALSE,TR,regional,Eurocontrol,3232,EUR,2024
DE,FALSE,NO,regional,Eurocontrol,3226,EUR,2024
GB,FALSE,IS,international,Northern America,3213,EUR,2024
TR,FALSE,SE,regional,Eurocontrol,3212,EUR,2024
HU,FALSE,TR,regional,Eurocontrol,3209,EUR,2024
LU,FALSE,ES,regional,Eurocontrol,3202,EUR,2024
GR,FALSE,SE,regional,Eurocontrol,3201,EUR,2024
SE,FALSE,GR,regional,Eurocontrol,3195,EUR,2024
HR,FALSE,AT,regional,Eurocontrol,3194,EUR,2024
FI,FALSE,LV,regional,Eurocontrol,3189,EUR,2024
LV,FALSE,FI,regional,Eurocontrol,3180,EUR,2024
DE,TRUE,HU,regional,Eurocontrol,3175,EUR,2024
DK,FALSE,US,international,Northern America,3173,EUR,2024
ES,TRUE,GR,regional,Eurocontrol,3173,EUR,2024
IT,FALSE,CN,international,China,3168,EUR,2024
ES,FALSE,FI,regional,Eurocontrol,3167,EUR,2024
IT,FALSE,SE,regional,Eurocontrol,3166,EUR,2024
BE,FALSE,CN,international,China,3165,EUR,2024
DE,TRUE,IE,regional,Eurocontrol,3162,EUR,2024
ES,TRUE,RO,regional,Eurocontrol,3158,EUR,2024
AT,FALSE,HR,regional,Eurocontrol,3157,EUR,2024
SE,FALSE,IT,regional,Eurocontrol,3148,EUR,2024
GB,TRUE,EG,international,Middle East,3141,EUR,2024
DE,FALSE,CZ,regional,Eurocontrol,3140,EUR,2024
AT,FALSE,BE,regional,Eurocontrol,3130,EUR,2024
CZ,FALSE,EG,international,Middle East,3118,EUR,2024
EE,FALSE,EE,regional,Eurocontrol,3115,EUR,2024
NO,FALSE,FI,regional,Eurocontrol,3100,EUR,2024
PT,FALSE,IE,regional,Eurocontrol,3075,EUR,2024
FI,FALSE,NO,regional,Eurocontrol,3071,EUR,2024
CH,FALSE,BE,regional,Eurocontrol,3066,EUR,2024
GB,FALSE,MT,regional,Eurocontrol,3057,EUR,2024
LU,FALSE,PT,regional,Eurocontrol,3047,EUR,2024
DE,FALSE,RS,regional,Eurocontrol,3042,EUR,2024
ES,FALSE,NA,NA,NA,3039,EUR,2024
FI,FALSE,DK,regional,Eurocontrol,3007,EUR,2024
FR,TRUE,IE,regional,Eurocontrol,2995,EUR,2024
BE,FALSE,AT,regional,Eurocontrol,2980,EUR,2024
DK,FALSE,FI,regional,Eurocontrol,2976,EUR,2024
FR,FALSE,DK,regional,Eurocontrol,2975,EUR,2024
FR,TRUE,SE,regional,Eurocontrol,2969,EUR,2024
GB,TRUE,PL,regional,Eurocontrol,2959,EUR,2024
NL,FALSE,IT,regional,Eurocontrol,2945,EUR,2024
FI,FALSE,FR,regional,Eurocontrol,2937,EUR,2024
DE,FALSE,AE,international,Middle East,2933,EUR,2024
FR,FALSE,HR,regional,Eurocontrol,2888,EUR,2024
PL,FALSE,IE,regional,Eurocontrol,2884,EUR,2024
IE,FALSE,PL,regional,Eurocontrol,2876,EUR,2024
LT,FALSE,GB,regional,Eurocontrol,2865,EUR,2024
CZ,FALSE,NL,regional,Eurocontrol,2864,EUR,2024
GB,FALSE,LT,regional,Eurocontrol,2846,EUR,2024
CZ,FALSE,PL,regional,Eurocontrol,2843,EUR,2024
PL,FALSE,CZ,regional,Eurocontrol,2843,EUR,2024
PL,FALSE,FI,regional,Eurocontrol,2841,EUR,2024
FI,FALSE,PL,regional,Eurocontrol,2839,EUR,2024
LT,FALSE,DE,regional,Eurocontrol,2838,EUR,2024
FR,FALSE,XF,NA,NA,2837,EUR,2024
TR,FALSE,LY,international,Africa,2832,EUR,2024
RO,FALSE,AT,regional,Eurocontrol,2828,EUR,2024
DE,TRUE,LU,regional,Eurocontrol,2796,EUR,2024
LU,FALSE,GB,regional,Eurocontrol,2789,EUR,2024
SE,FALSE,CH,regional,Eurocontrol,2787,EUR,2024
AT,FALSE,RO,regional,Eurocontrol,2786,EUR,2024
GB,TRUE,BE,regional,Eurocontrol,2783,EUR,2024
MK,FALSE,DE,regional,Eurocontrol,2778,EUR,2024
FI,FALSE,IT,regional,Eurocontrol,2767,EUR,2024
IT,FALSE,FI,regional,Eurocontrol,2759,EUR,2024
FR,TRUE,AT,regional,Eurocontrol,2749,EUR,2024
IT,FALSE,QA,international,Middle East,2740,EUR,2024
IT,FALSE,IL,international,Middle East,2739,EUR,2024
DE,TRUE,CZ,regional,Eurocontrol,2725,EUR,2024
BE,FALSE,DK,regional,Eurocontrol,2712,EUR,2024
RO,FALSE,BE,regional,Eurocontrol,2710,EUR,2024
BE,FALSE,RO,regional,Eurocontrol,2696,EUR,2024
FR,TRUE,AE,international,Middle East,2664,EUR,2024
DK,FALSE,BE,regional,Eurocontrol,2662,EUR,2024
MT,FALSE,DE,regional,Eurocontrol,2656,EUR,2024
SE,FALSE,BE,regional,Eurocontrol,2654,EUR,2024
AL,FALSE,GB,regional,Eurocontrol,2645,EUR,2024
FR,FALSE,CZ,regional,Eurocontrol,2605,EUR,2024
GB,FALSE,LU,regional,Eurocontrol,2602,EUR,2024
HR,FALSE,NL,regional,Eurocontrol,2600,EUR,2024
NL,TRUE,AE,international,Middle East,2591,EUR,2024
IT,FALSE,TN,international,Africa,2585,EUR,2024
ES,TRUE,DK,regional,Eurocontrol,2583,EUR,2024
GB,TRUE,SG,international,Asia,2574,EUR,2024
RS,FALSE,IT,regional,Eurocontrol,2565,EUR,2024
DE,TRUE,JP,international,Asia,2557,EUR,2024
BE,FALSE,SE,regional,Eurocontrol,2548,EUR,2024
CH,FALSE,AT,regional,Eurocontrol,2546,EUR,2024
PT,TRUE,MA,international,Africa,2527,EUR,2024
FR,FALSE,HU,regional,Eurocontrol,2519,EUR,2024
IT,FALSE,NO,regional,Eurocontrol,2515,EUR,2024
IT,FALSE,RS,regional,Eurocontrol,2514,EUR,2024
ES,FALSE,RO,regional,Eurocontrol,2508,EUR,2024
