DEP_CNTRY,IS_STUDY,DES_CNTRY,TFC_TYPE,DES_PRU,DEPS,REGION,YEAR
GB,FALSE,US,international,Northern America,9655,EUR,2024
PT,TRUE,GB,regional,Eurocontrol,9635,EUR,2024
TR,FALSE,AE,international,Middle East,9630,EUR,2024
ES,FALSE,PL,regional,Eurocontrol,9588,EUR,2024
AT,FALSE,GB,regional,Eurocontrol,9524,EUR,2024
CY,FALSE,GB,regional,Eurocontrol,9484,EUR,2024
FR,FALSE,TR,regional,Eurocontrol,9399,EUR,2024
HR,FALSE,HR,regional,Eurocontrol,9378,EUR,2024
CH,FALSE,ES,regional,Eurocontrol,9362,EUR,2024
GB,TRUE,TR,regional,Eurocontrol,9301,EUR,2024
NL,FALSE,ES,regional,Eurocontrol,9200,EUR,2024
ES,TRUE,NL,regional,Eurocontrol,9130,EUR,2024
CH,FALSE,DE,regional,Eurocontrol,9038,EUR,2024
DE,FALSE,PT,regional,Eurocontrol,9020,EUR,2024
AM,FALSE,RU,international,Russia,9003,EUR,2024
ES,TRUE,CH,regional,Eurocontrol,8995,EUR,2024
IE,FALSE,FR,regional,Eurocontrol,8977,EUR,2024
DE,TRUE,CH,regional,Eurocontrol,8956,EUR,2024
AT,FALSE,AT,regional,Eurocontrol,8951,EUR,2024
PT,FALSE,DE,regional,Eurocontrol,8939,EUR,2024
FR,FALSE,GR,regional,Eurocontrol,8888,EUR,2024
ES,TRUE,MA,international,Africa,8817,EUR,2024
NO,FALSE,ES,regional,Eurocontrol,8663,EUR,2024
GB,FALSE,RO,regional,Eurocontrol,8660,EUR,2024
DE,FALSE,EG,international,Middle East,8563,EUR,2024
NO,FALSE,NL,regional,Eurocontrol,8525,EUR,2024
SE,FALSE,DK,regional,Eurocontrol,8525,EUR,2024
PL,FALSE,NL,regional,Eurocontrol,8479,EUR,2024
DE,FALSE,DK,regional,Eurocontrol,8459,EUR,2024
SE,FALSE,GB,regional,Eurocontrol,8430,EUR,2024
DK,FALSE,NL,regional,Eurocontrol,8399,EUR,2024
DE,FALSE,NA,NA,NA,8365,EUR,2024
NL,TRUE,NO,regional,Eurocontrol,8335,EUR,2024
DK,FALSE,SE,regional,Eurocontrol,8190,EUR,2024
FR,FALSE,NA,NA,NA,8166,EUR,2024
ES,FALSE,SE,regional,Eurocontrol,8155,EUR,2024
NO,FALSE,DE,regional,Eurocontrol,8138,EUR,2024
IE,FALSE,DE,regional,Eurocontrol,8078,EUR,2024
PL,FALSE,GR,regional,Eurocontrol,8000,EUR,2024
GR,FALSE,PL,regional,Eurocontrol,7999,EUR,2024
CY,FALSE,GR,regional,Eurocontrol,7953,EUR,2024
NL,TRUE,DK,regional,Eurocontrol,7951,EUR,2024
BE,FALSE,GB,regional,Eurocontrol,7940,EUR,2024
GB,TRUE,NL,regional,Eurocontrol,7890,EUR,2024
SE,FALSE,NO,regional,Eurocontrol,7851,EUR,2024
GR,FALSE,CY,regional,Eurocontrol,7828,EUR,2024
DE,TRUE,NL,regional,Eurocontrol,7763,EUR,2024
MT,FALSE,IT,regional,Eurocontrol,7738,EUR,2024
NO,FALSE,SE,regional,Eurocontrol,7690,EUR,2024
ES,FALSE,DK,regional,Eurocontrol,7688,EUR,2024
NO,FALSE,PL,regional,Eurocontrol,7644,EUR,2024
PL,FALSE,NO,regional,Eurocontrol,7621,EUR,2024
IT,FALSE,EG,international,Middle East,7619,EUR,2024
IT,FALSE,MT,regional,Eurocontrol,7532,EUR,2024
GB,FALSE,DK,regional,Eurocontrol,7499,EUR,2024
FI,FALSE,DE,regional,Eurocontrol,7438,EUR,2024
HU,FALSE,DE,regional,Eurocontrol,7424,EUR,2024
PL,FALSE,FR,regional,Eurocontrol,7396,EUR,2024
ES,TRUE,BE,regional,Eurocontrol,7389,EUR,2024
ES,FALSE,NO,regional,Eurocontrol,7339,EUR,2024
CZ,FALSE,GB,regional,Eurocontrol,7322,EUR,2024
CH,FALSE,IT,regional,Eurocontrol,7300,EUR,2024
ES,FALSE,MA,international,Africa,7233,EUR,2024
TR,FALSE,US,international,Northern America,7207,EUR,2024
PT,TRUE,DE,regional,Eurocontrol,7196,EUR,2024
AT,FALSE,FR,regional,Eurocontrol,7190,EUR,2024
DK,FALSE,FR,regional,Eurocontrol,7179,EUR,2024
PT,TRUE,IT,regional,Eurocontrol,7122,EUR,2024
TR,FALSE,EG,international,Middle East,7066,EUR,2024
TR,FALSE,KZ,international,Asia,7036,EUR,2024
TR,FALSE,NL,regional,Eurocontrol,6987,EUR,2024
DE,TRUE,PT,regional,Eurocontrol,6923,EUR,2024
GB,TRUE,IN,international,Asia,6840,EUR,2024
TR,FALSE,IQ,international,Middle East,6836,EUR,2024
GR,FALSE,NL,regional,Eurocontrol,6826,EUR,2024
DK,FALSE,IT,regional,Eurocontrol,6776,EUR,2024
IT,FALSE,DK,regional,Eurocontrol,6767,EUR,2024
NL,TRUE,CH,regional,Eurocontrol,6732,EUR,2024
HU,FALSE,GB,regional,Eurocontrol,6730,EUR,2024
HU,FALSE,IT,regional,Eurocontrol,6709,EUR,2024
IT,FALSE,HU,regional,Eurocontrol,6619,EUR,2024
BG,FALSE,DE,regional,Eurocontrol,6587,EUR,2024
NL,TRUE,PL,regional,Eurocontrol,6496,EUR,2024
IT,FALSE,IE,regional,Eurocontrol,6447,EUR,2024
GR,FALSE,IL,international,Middle East,6432,EUR,2024
HR,FALSE,GB,regional,Eurocontrol,6400,EUR,2024
TR,FALSE,ES,regional,Eurocontrol,6365,EUR,2024
GB,TRUE,AE,international,Middle East,6364,EUR,2024
TR,FALSE,AZ,international,Asia,6359,EUR,2024
IE,FALSE,IT,regional,Eurocontrol,6358,EUR,2024
ES,FALSE,AT,regional,Eurocontrol,6333,EUR,2024
GB,FALSE,CY,regional,Eurocontrol,6316,EUR,2024
TR,FALSE,CH,regional,Eurocontrol,6309,EUR,2024
CZ,FALSE,IT,regional,Eurocontrol,6302,EUR,2024
IT,FALSE,MA,international,Africa,6298,EUR,2024
GR,FALSE,CH,regional,Eurocontrol,6274,EUR,2024
IT,FALSE,CZ,regional,Eurocontrol,6271,EUR,2024
CH,TRUE,FR,regional,Eurocontrol,6224,EUR,2024
NO,FALSE,NA,NA,NA,6167,EUR,2024
IE,FALSE,NL,regional,Eurocontrol,6155,EUR,2024
AT,FALSE,CH,regional,Eurocontrol,6138,EUR,2024
DK,FALSE,PL,regional,Eurocontrol,6132,EUR,2024
PL,FALSE,DK,regional,Eurocontrol,6121,EUR,2024
BE,FALSE,MA,international,Africa,6087,EUR,2024
FR,FALSE,IE,regional,Eurocontrol,6009,EUR,2024
CZ,FALSE,DE,regional,Eurocontrol,6005,EUR,2024
GR,FALSE,AT,regional,Eurocontrol,5914,EUR,2024
NL,TRUE,TR,regional,Eurocontrol,5894,EUR,2024
DE,TRUE,DK,regional,Eurocontrol,5880,EUR,2024
DE,TRUE,SE,regional,Eurocontrol,5867,EUR,2024
AT,FALSE,TR,regional,Eurocontrol,5853,EUR,2024
NL,TRUE,PT,regional,Eurocontrol,5846,EUR,2024
CH,TRUE,US,international,Northern America,5820,EUR,2024
AT,FALSE,GR,regional,Eurocontrol,5816,EUR,2024
IE,FALSE,IE,regional,Eurocontrol,5794,EUR,2024
DE,TRUE,CN,international,China,5785,EUR,2024
CY,FALSE,IL,international,Middle East,5779,EUR,2024
DE,FALSE,HR,regional,Eurocontrol,5706,EUR,2024
GB,TRUE,DK,regional,Eurocontrol,5701,EUR,2024
TR,FALSE,AT,regional,Eurocontrol,5680,EUR,2024
RO,FALSE,ES,regional,Eurocontrol,5666,EUR,2024
DE,FALSE,SE,regional,Eurocontrol,5634,EUR,2024
NL,TRUE,IE,regional,Eurocontrol,5633,EUR,2024
FR,TRUE,MA,international,Africa,5631,EUR,2024
RO,FALSE,TR,regional,Eurocontrol,5627,EUR,2024
SE,FALSE,NL,regional,Eurocontrol,5624,EUR,2024
CZ,FALSE,ES,regional,Eurocontrol,5615,EUR,2024
TR,FALSE,RO,regional,Eurocontrol,5606,EUR,2024
DE,TRUE,HR,regional,Eurocontrol,5598,EUR,2024
FR,TRUE,DZ,international,Africa,5566,EUR,2024
TR,FALSE,GR,regional,Eurocontrol,5538,EUR,2024
NL,TRUE,SE,regional,Eurocontrol,5509,EUR,2024
CH,FALSE,PT,regional,Eurocontrol,5499,EUR,2024
RO,FALSE,FR,regional,Eurocontrol,5493,EUR,2024
BE,FALSE,TR,regional,Eurocontrol,5492,EUR,2024
GB,FALSE,BE,regional,Eurocontrol,5491,EUR,2024
GR,FALSE,TR,regional,Eurocontrol,5490,EUR,2024
TR,FALSE,BE,regional,Eurocontrol,5473,EUR,2024
GB,TRUE,CA,international,Northern America,5461,EUR,2024
DE,FALSE,RO,regional,Eurocontrol,5459,EUR,2024
IT,FALSE,AE,international,Middle East,5427,EUR,2024
DE,TRUE,RO,regional,Eurocontrol,5408,EUR,2024
NL,TRUE,GR,regional,Eurocontrol,5339,EUR,2024
GB,TRUE,NO,regional,Eurocontrol,5329,EUR,2024
SE,FALSE,PL,regional,Eurocontrol,5276,EUR,2024
MT,FALSE,GB,regional,Eurocontrol,5256,EUR,2024
PL,FALSE,SE,regional,Eurocontrol,5249,EUR,2024
BG,FALSE,GB,regional,Eurocontrol,5209,EUR,2024
DE,TRUE,BE,regional,Eurocontrol,5178,EUR,2024
PT,TRUE,BR,international,Southern America,5167,EUR,2024
DE,FALSE,BE,regional,Eurocontrol,5150,EUR,2024
GB,TRUE,AT,regional,Eurocontrol,5150,EUR,2024
PL,FALSE,EG,international,Middle East,5137,EUR,2024
DE,FALSE,US,international,Northern America,5115,EUR,2024
GB,FALSE,NO,regional,Eurocontrol,5045,EUR,2024
RS,FALSE,DE,regional,Eurocontrol,5043,EUR,2024
PT,FALSE,CH,regional,Eurocontrol,5042,EUR,2024
GB,FALSE,CZ,regional,Eurocontrol,4945,EUR,2024
FR,TRUE,CH,regional,Eurocontrol,4931,EUR,2024
IE,FALSE,PT,regional,Eurocontrol,4902,EUR,2024
GB,TRUE,SE,regional,Eurocontrol,4900,EUR,2024
SE,FALSE,FR,regional,Eurocontrol,4881,EUR,2024
GB,FALSE,HU,regional,Eurocontrol,4832,EUR,2024
PT,TRUE,US,international,Northern America,4809,EUR,2024
GB,FALSE,MA,international,Africa,4784,EUR,2024
BE,FALSE,CH,regional,Eurocontrol,4771,EUR,2024
BE,FALSE,PT,regional,Eurocontrol,4685,EUR,2024
DE,FALSE,IE,regional,Eurocontrol,4641,EUR,2024
DE,TRUE,NO,regional,Eurocontrol,4613,EUR,2024
CZ,FALSE,FR,regional,Eurocontrol,4611,EUR,2024
GB,TRUE,CN,international,China,4568,EUR,2024
DE,FALSE,HU,regional,Eurocontrol,4517,EUR,2024
HU,FALSE,ES,regional,Eurocontrol,4495,EUR,2024
AT,FALSE,NL,regional,Eurocontrol,4438,EUR,2024
FR,TRUE,TR,regional,Eurocontrol,4416,EUR,2024
DK,FALSE,TR,regional,Eurocontrol,4404,EUR,2024
PT,TRUE,CH,regional,Eurocontrol,4382,EUR,2024
GB,FALSE,AT,regional,Eurocontrol,4379,EUR,2024
FR,FALSE,AT,regional,Eurocontrol,4365,EUR,2024
DE,TRUE,CA,international,Northern America,4359,EUR,2024
TR,FALSE,DK,regional,Eurocontrol,4344,EUR,2024
GB,FALSE,AE,international,Middle East,4331,EUR,2024
CH,TRUE,TR,regional,Eurocontrol,4329,EUR,2024
TR,FALSE,UZ,international,Asia,4314,EUR,2024
GB,FALSE,BG,regional,Eurocontrol,4308,EUR,2024
PT,FALSE,NL,regional,Eurocontrol,4300,EUR,2024
GE,FALSE,RU,international,Russia,4284,EUR,2024
