ICAO,DATE,PHASE,MVTS,TXXT,ADD_TIME,AVG_ADD_TIME
LPPT,2019-01-01,TXIT,264,1459.0333333333324,171.17999999999998,0.6484090909090908
LPPT,2019-01-01,TXOT,269,3163.9333333333334,239.27333333333326,0.8894919454770753
LPPT,2019-01-02,TXIT,292,1631.9,196.25,0.6720890410958904
LPPT,2019-01-02,TXOT,298,3741.9000000000024,485.32333333333304,1.6286017897091714
LPPT,2019-01-03,TXIT,271,1689.5333333333347,415.9066666666666,1.5347109471094709
LPPT,2019-01-03,TXOT,279,4543.050000000003,1308.8566666666661,4.691242532855434
LPPT,2019-01-04,TXIT,312,1795.883333333333,279.4133333333331,0.8955555555555549
LPPT,2019-01-04,TXOT,307,4079.9833333333345,638.9599999999998,2.0813029315960905
LPPT,2019-01-05,TXIT,280,1535.6499999999994,148.6433333333332,0.5308690476190472
LPPT,2019-01-05,TXOT,277,3436.833333333334,388.8000000000001,1.4036101083032495
LPPT,2019-01-06,TXIT,288,1578.0333333333338,158.7766666666666,0.5513078703703702
LPPT,2019-01-06,TXOT,289,3519.233333333334,331.9000000000001,1.1484429065743949
LPPT,2019-01-07,TXIT,292,1580.7333333333343,141.98666666666674,0.48625570776255733
LPPT,2019-01-07,TXOT,285,3573.7166666666635,457.2966666666669,1.60454970760234
LPPT,2019-01-08,TXIT,264,1502.1499999999992,186.11666666666656,0.7049873737373733
LPPT,2019-01-08,TXOT,260,3083.9000000000005,266.0166666666668,1.0231410256410263
LPPT,2019-01-09,TXIT,258,1370.166666666667,104.56333333333332,0.4052842377260981
LPPT,2019-01-09,TXOT,266,3128.316666666665,229.46333333333342,0.8626441102756895
LPPT,2019-01-10,TXIT,261,1447.4666666666667,163.11333333333334,0.6249553001277139
LPPT,2019-01-10,TXOT,259,3209.85,380.3733333333332,1.4686229086229081
LPPT,2019-01-11,TXIT,283,1524.866666666667,128.5966666666667,0.45440518256772683
LPPT,2019-01-11,TXOT,286,3502.8000000000047,376.6700000000002,1.3170279720279727
LPPT,2019-01-12,TXIT,257,1394.6333333333337,129.83333333333326,0.5051880674448765
LPPT,2019-01-12,TXOT,254,2806.649999999998,5.35333333333331,0.021076115485564213
LPPT,2019-01-13,TXIT,272,1486.166666666668,143.95999999999995,0.5292647058823527
LPPT,2019-01-13,TXOT,274,3197.7333333333336,213.18000000000018,0.7780291970802926
LPPT,2019-01-14,TXIT,275,1536.6,181.68000000000015,0.660654545454546
LPPT,2019-01-14,TXOT,267,3208.1333333333337,297.9233333333334,1.1158177278402
LPPT,2019-01-15,TXIT,239,1262.3833333333334,137.01999999999995,0.5733054393305438
LPPT,2019-01-15,TXOT,235,3167.8333333333326,476.37666666666655,2.0271347517730494
LPPT,2019-01-16,TXIT,236,1302.6166666666657,197.47333333333327,0.8367514124293782
LPPT,2019-01-16,TXOT,247,3596.8999999999996,723.0133333333338,2.927179487179489
LPPT,2019-01-17,TXIT,254,1384.6666666666656,130.2366666666666,0.5127427821522307
LPPT,2019-01-17,TXOT,252,2807.516666666667,66.22000000000001,0.26277777777777783
