ICAO,DATE,PHASE,N_VALID,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
EDDF,2023-01-22,ARR,486,0,0,0,0,3,1,8,7,10,17,41,48,53,66,49,37,21,19,23,12,15,9,4,3,5,35
EDDF,2023-01-22,DEP,482,2,0,0,0,0,0,1,0,0,1,4,14,38,87,80,57,45,42,14,20,26,10,6,6,4,25
EDDF,2023-01-23,ARR,468,2,0,2,3,0,2,3,4,12,20,45,52,68,56,50,44,32,12,8,7,9,5,6,2,5,19
EDDF,2023-01-23,DEP,471,1,0,0,1,0,0,0,1,1,1,5,14,62,101,98,53,36,25,19,5,8,5,4,6,3,22
EDDF,2023-01-24,ARR,438,2,0,0,0,1,1,5,10,18,35,59,56,66,64,29,20,26,16,5,4,3,1,4,1,1,11
EDDF,2023-01-24,DEP,431,0,0,0,0,0,0,0,0,0,2,7,25,94,114,63,51,26,14,11,9,4,4,0,1,0,6
EDDF,2023-01-25,ARR,444,1,3,1,1,2,3,3,16,8,31,49,64,68,56,36,29,16,11,13,11,4,2,3,1,0,12
EDDF,2023-01-25,DEP,453,0,2,1,0,0,0,0,2,0,1,9,22,70,121,70,52,35,17,17,4,4,5,2,5,4,10
EDDF,2023-01-26,ARR,477,1,1,0,1,3,1,7,6,12,19,40,42,52,57,42,50,34,24,18,13,8,7,4,8,0,27
EDDF,2023-01-26,DEP,474,0,0,0,0,0,0,0,0,1,0,5,13,30,86,71,73,43,29,33,28,16,6,6,6,5,23
EDDF,2023-01-27,ARR,473,1,0,1,2,1,3,5,7,9,17,27,60,60,65,51,34,38,19,14,15,8,6,6,4,5,15
EDDF,2023-01-27,DEP,486,1,0,0,1,0,0,0,1,2,0,7,8,50,92,96,62,41,30,25,19,12,10,5,6,2,16
EDDF,2023-01-28,ARR,473,2,1,2,2,0,5,8,8,10,26,31,63,57,52,46,37,36,16,14,9,6,6,5,6,8,17
EDDF,2023-01-28,DEP,469,0,0,0,0,0,0,0,0,1,0,6,8,44,65,89,67,44,35,27,22,13,10,4,6,9,19
EDDF,2023-01-29,ARR,502,1,0,2,1,1,3,6,12,14,30,45,58,78,72,42,45,20,18,8,8,8,6,6,4,1,13
EDDF,2023-01-29,DEP,499,0,0,0,0,0,0,0,2,0,2,9,10,60,92,102,69,47,33,33,14,6,3,3,4,0,10
EDDF,2023-01-30,ARR,463,2,2,1,2,6,7,3,5,10,15,29,49,53,59,64,35,36,17,16,11,8,3,8,4,4,14
EDDF,2023-01-30,DEP,465,1,0,1,0,0,0,0,1,0,0,5,16,56,74,81,58,45,43,16,17,12,8,8,8,1,14
EDDF,2023-01-31,ARR,451,2,1,2,3,5,4,4,4,10,20,37,53,69,64,49,36,21,21,11,5,6,8,3,2,1,10
EDDF,2023-01-31,DEP,440,1,0,0,0,0,1,0,0,1,0,2,24,76,100,80,51,40,15,16,7,10,5,5,1,1,4
EDDF,2023-02-01,ARR,468,0,2,3,3,4,3,7,7,8,15,35,51,73,79,50,42,16,16,9,14,8,3,3,4,2,11
EDDF,2023-02-01,DEP,469,0,0,1,0,1,0,0,0,0,2,7,10,68,108,82,64,34,30,17,10,10,2,7,3,0,13
EDDF,2023-02-02,ARR,485,2,1,2,2,2,1,5,7,16,18,38,57,53,61,61,49,25,21,21,12,8,2,5,4,1,11
EDDF,2023-02-02,DEP,486,0,0,0,0,0,0,1,0,0,1,5,22,64,96,77,48,44,39,24,20,5,5,6,5,4,20
EDDF,2023-02-03,ARR,498,0,0,0,0,0,3,3,4,11,13,25,52,63,62,51,56,39,30,23,13,9,7,7,3,3,21
EDDF,2023-02-03,DEP,509,2,0,0,0,1,0,1,0,1,1,6,12,49,100,75,64,55,42,28,17,18,7,2,7,4,17
EDDF,2023-02-04,ARR,491,1,3,2,2,4,2,4,9,12,31,42,50,70,66,41,25,31,25,15,8,8,10,5,4,3,18
EDDF,2023-02-04,DEP,494,1,0,0,0,0,1,1,1,0,1,4,10,44,93,92,64,38,41,24,15,10,10,4,5,6,29
EDDF,2023-02-05,ARR,534,1,1,0,2,1,4,2,4,8,13,34,62,86,78,59,49,27,21,14,17,6,4,6,5,5,25
EDDF,2023-02-05,DEP,522,1,0,0,0,1,3,0,0,0,2,3,10,45,87,87,77,44,36,29,24,16,13,8,11,0,25
EDDF,2023-02-06,ARR,502,2,1,1,0,1,2,1,7,3,17,41,44,65,71,70,41,32,19,24,19,11,7,3,4,4,12
EDDF,2023-02-06,DEP,509,0,0,0,0,0,0,0,0,0,2,6,6,40,75,81,73,48,49,29,20,20,12,8,7,5,28
