REG,DATE,ARRS,DEPS,HEAVY,MED,LIGHT,ARRS_DOM,DEPS_DOM,OVR_FLTS,PAX,CARGO,OTHER
EUR,2019-01-01T00:00:00Z,19067,19268,2858,20223,413,16092,16092,544,15102,240,4590
EUR,2019-01-02T00:00:00Z,23021,23030,3347,22171,886,20207,20207,558,23196,906,2474
EUR,2019-01-03T00:00:00Z,23315,23291,3447,22256,1087,20412,20412,595,23219,1093,2672
EUR,2019-01-04T00:00:00Z,23822,23876,3579,22654,1073,20937,20937,544,23814,1026,2642
EUR,2019-01-05T00:00:00Z,19850,19849,3574,19132,715,16796,16796,516,20979,516,2084
EUR,2019-01-06T00:00:00Z,22450,22371,3523,21827,664,19348,19348,540,23712,470,2025
EUR,2019-01-07T00:00:00Z,23703,23564,3398,22384,1111,20872,20872,496,23588,862,2609
EUR,2019-01-08T00:00:00Z,21542,21565,3432,20253,1097,18873,18873,546,21063,1169,2718
EUR,2019-01-09T00:00:00Z,22498,22471,3456,21040,1264,19750,19750,540,21626,1275,3039
EUR,2019-01-10T00:00:00Z,22717,22705,3473,21087,1472,19935,19935,544,21752,1275,3206
EUR,2019-01-11T00:00:00Z,23530,23586,3593,22013,1274,20736,20736,499,23022,1139,2880
EUR,2019-01-12T00:00:00Z,18295,18333,3465,17549,687,15431,15431,503,19384,594,1877
EUR,2019-01-13T00:00:00Z,20947,20924,3412,20374,592,18041,18041,546,22231,528,1808
EUR,2019-01-14T00:00:00Z,23372,23292,3384,21748,1320,20691,20691,478,22771,959,2883
EUR,2019-01-15T00:00:00Z,21262,21201,3277,19475,1518,18676,18676,482,19846,1243,3336
EUR,2019-01-16T00:00:00Z,22597,22612,3362,20679,1604,20055,20055,490,21233,1271,3326
EUR,2019-01-17T00:00:00Z,23246,23243,3400,21523,1487,20573,20573,493,22038,1252,3294
EUR,2019-01-18T00:00:00Z,24945,24985,3504,23022,1649,22223,22223,466,23736,1194,3413
EUR,2019-01-19T00:00:00Z,18350,18357,3440,17306,841,15584,15584,462,19175,608,1947
EUR,2019-01-20T00:00:00Z,21471,21403,3392,20473,853,18648,18648,490,22213,539,2148
EUR,2019-01-21T00:00:00Z,23907,23783,3333,22146,1462,21194,21194,443,22808,982,3325
EUR,2019-01-22T00:00:00Z,21833,21786,3268,20157,1364,19299,19299,468,20479,1222,3246
EUR,2019-01-23T00:00:00Z,22322,22366,3380,20672,1252,19840,19840,454,21186,1295,2980
EUR,2019-01-24T00:00:00Z,23278,23327,3385,21602,1466,20619,20619,466,22140,1264,3230
EUR,2019-01-25T00:00:00Z,24471,24562,3452,22935,1297,21797,21797,447,23452,1174,3211
EUR,2019-01-26T00:00:00Z,18138,18186,3420,17336,612,15408,15408,451,19082,593,1842
EUR,2019-01-27T00:00:00Z,21191,21219,3394,20516,570,18423,18423,492,22231,559,1892
EUR,2019-01-28T00:00:00Z,23467,23340,3348,21825,1246,20819,20819,430,22733,998,2854
EUR,2019-01-29T00:00:00Z,21971,21955,3275,20138,1477,19492,19492,455,20715,1233,3116
EUR,2019-01-30T00:00:00Z,22421,22441,3318,20651,1433,19945,19945,483,21137,1263,3183
EUR,2019-01-31T00:00:00Z,23374,23425,3390,21813,1375,20701,20701,478,22136,1304,3320
EUR,2019-02-01T00:00:00Z,25884,25935,3883,25312,1221,22619,22619,455,23755,1187,2715
EUR,2019-02-02T00:00:00Z,18566,18612,3406,17869,533,15804,15804,433,19822,608,1518
EUR,2019-02-03T00:00:00Z,20925,20892,3408,20060,705,18128,18128,483,22034,565,1755
EUR,2019-02-04T00:00:00Z,23650,23562,3303,21908,1400,21030,21030,427,23005,966,2801
EUR,2019-02-05T00:00:00Z,22275,22205,3261,20414,1499,19760,19760,452,21099,1240,2975
EUR,2019-02-06T00:00:00Z,23138,23148,3272,21172,1654,20644,20644,455,21681,1268,3313
EUR,2019-02-07T00:00:00Z,24026,24038,3280,22148,1720,21380,21380,463,22684,1256,3397
EUR,2019-02-08T00:00:00Z,25127,25195,3440,23367,1499,22475,22475,457,24234,1118,3123
EUR,2019-02-09T00:00:00Z,19008,19049,3335,18135,759,16289,16289,459,20180,538,1655
EUR,2019-02-10T00:00:00Z,21538,21549,3327,20801,659,18776,18776,475,22823,512,1639
EUR,2019-02-11T00:00:00Z,24036,23937,3258,22352,1400,21406,21406,442,23482,893,2794
EUR,2019-02-12T00:00:00Z,22737,22740,3257,20729,1698,20243,20243,449,21498,1116,3226
EUR,2019-02-13T00:00:00Z,22838,22859,3245,20745,1781,20400,20400,473,21405,1184,3360
EUR,2019-02-14T00:00:00Z,24502,24505,3351,22547,1799,21787,21787,476,23213,1228,3452
EUR,2019-02-15T00:00:00Z,26102,26118,3478,24039,1797,23358,23358,450,24686,1146,3654
EUR,2019-02-16T00:00:00Z,20287,20370,3382,19095,1109,17516,17516,443,20888,576,2268
EUR,2019-02-17T00:00:00Z,22557,22523,3358,21507,1002,19722,19722,507,23315,527,2208
EUR,2019-02-18T00:00:00Z,24283,24223,3292,22602,1421,21626,21626,434,23726,925,2813
EUR,2019-02-19T00:00:00Z,23004,23007,3257,21088,1635,20476,20476,443,21796,1198,3147
